Type,Name,Position,Number,Role
Player,Elijah Arroyo,Tight End,18,
Player,AJ Barner,Tight End,88,
Player,Jake Bobo,Wide Receiver,19,
Player,Anthony Bradford,Guard,75,
Player,Coby Bryant,Safety,8,
Player,Charles Cross,Tackle,67,
Player,Sam Darnold,Quarterback,14,
Player,Michael Dickson,Punter,4,
Player,Nick Emmanwori,Safety,3,
Player,Derick Hall,Linebacker,58,
Player,Christian Haynes,Guard,64,
Player,George Holani,Running Back,36,
Player,Jared Ivey,Linebacker,51,
Player,Josh Jobe,Cornerback,29,
Player,Ernest Jones IV,Linebacker,13,
Player,Josh Jones,Guard/Tackle,74,
Player,Nick Kallerup,Tight End,89,
Player,Tyrice Knight,Linebacker,48,
Player,Cooper Kupp,Wide Receiver,10,
Player,DeMarcus Lawrence,Linebacker,0,
Player,Drew Lock,Quarterback,2,
Player,Julian Love,Safety,20,
Player,Abraham Lucas,Tackle,72,
Player,Boye Mafe,Linebacker,53,
Player,Rylie Mills,Defensive End,98,
Player,Jalen Milroe,Quarterback,6,
Player,Mike Morris,Defensive End,94,
Player,Byron Murphy II,Defensive Tackle,91,
Player,Jason Myers,Kicker,5,
Player,Uchenna Nwosu,Linebacker,7,
Player,Patrick O'Connell,Linebacker,52,
Player,Ty Okada,Safety,39,
Player,Olu Oluwatimi,Center,55,
Player,Connor O'Toole,Linebacker,57,
Player,Robbie Ouzts,Fullback,40,
Player,Brandon Pili,Nose Tackle,95,
Player,Nehemiah Pritchett,Cornerback,28,
Player,Jarran Reed,Nose Tackle,90,
Player,Mason Richman,Tackle/Guard,78,
Player,Brady Russell,Fullback,38,
Player,Eric Saubert,Tight End,81,
Player,Rashid Shaheed,Wide Receiver,22,
Player,Jaxon Smith-Njigba,Wide Receiver,11,
Player,Chris Stoll,Long Snapper,41,
Player,Jalen Sundell,Center,61,
Player,Chazz Surratt,Linebacker,44,
Player,Drake Thomas,Linebacker,42,
Player,Kenneth Walker III,Running Back,9,
Player,Leonard Williams,Defensive Tackle,99,
Player,Devon Witherspoon,Cornerback,21,
Player,Riq Woolen,Cornerback,27,
Player,Dareke Young,Wide Receiver,83,
Player,Grey Zabel,Guard,76,
