Type,Name,Position,Number,Role
Staff,Jody Allen,Chair,,Main Staff
Staff,Bert Kolde,Vice Chair,,Main Staff
Staff,Chuck Arnold,President, Seahawks and First & Goal Inc.,,Main Staff
Staff,John Schneider,President of Football Operations/General Manager,,Main Staff
Staff,Jeff Dunn,Chief Strategy Officer,,Main Staff
Staff,Ed Goines,Chief Legal Officer,,Main Staff
Staff,Cindy Kelley,Chief Human Resources Officer,,Main Staff
Staff,Dave Pearson,Chief Communications Officer,,Main Staff
Staff,Karen Spencer,Chief Financial Officer,,Main Staff
Staff,Amy Sprangers,Chief Revenue Officer,,Main Staff
Staff,David Young,Chief Operating Officer,,Main Staff
Staff,Nolan Teasley,Assistant General Manager,,Main Staff
Staff,Mario Bailey,Vice President of Community Engagement & Legends,,Main Staff
Staff,Matt Berry,Vice President of Player Acquisition,,Main Staff
Staff,Sarita Carter,Vice President of Human Resources,,Main Staff
Staff,Eric Engberg,Vice President of Suites & Premium,,Main Staff
Staff,Tyson Flandreau,Vice President of Brand and Marketing,,Main Staff
Staff,Mike Flood,Vice President of Outreach & External Affairs,,Main Staff
Staff,Peter Fonfara,Vice President of Finance,,Main Staff
Staff,Zach Hensley,Vice President of Operations and General Manager of Lumen Field,,Main Staff
Staff,Paimon Jaberi,Vice President of Business Strategy & Analytics,,Main Staff
Staff,Marissa John,Vice President & General Counsel,,Main Staff
Staff,Maurice Kelly,Vice President of Player Affairs,,Main Staff
Staff,Trent Kirchner,Vice President of Player Personnel,,Main Staff
Staff,Joey Laine,Vice President of Football Administration,,Main Staff
Staff,Chris Lawrence,Vice President, Tickets & Premium,,Main Staff
Staff,Kenton Olson,Vice President of Digital & Emerging Media,,Main Staff
Staff,Sam Ramsden,Vice President of Health & Player Performance,,Main Staff
Staff,William Saguilla,Vice President of Football Finance,,Main Staff
Staff,Chip Suttles,Vice President of Technology,,Main Staff
Staff,Karen Wilkins-Mickey,Vice President of Diversity, Equity & Inclusion,,Main Staff
Staff,Lisa Young,Vice President of Corporate Partnerships,,Main Staff

Staff,Nolan Teasley,Assistant General Manager,,Player Personnel
Staff,Trent Kirchner,Vice President of Player Personnel,,Player Personnel
Staff,Matt Berry,Vice President/Player Acquisition,,Player Personnel
Staff,Aaron Hineline,Director of College Scouting,,Player Personnel
Staff,Willie Schneider,Director of Pro Personnel,,Player Personnel
Staff,Jason Barnes,Assistant Director of College Scouting,,Player Personnel
Staff,Steve Hutchinson,Football Consultant,,Player Personnel
Staff,Todd Brunner,Area Scout (Northeast),,Player Personnel
Staff,Ryan Florence,Area Scout (Southwest),,Player Personnel
Staff,Josh Graff,Area Scout (West),,Player Personnel
Staff,Kirk Parrish,Sr. College Scouting Coordinator / Area Scout,,Player Personnel
Staff,Armani Perez,Assistant Director of Pro Personnel,,Player Personnel
