Name,Title
Jody Allen,Chair
Bert Kolde,Vice Chair
Chuck Arnold,President  Seahawks and First & Goal Inc.
John Schneider,President of Football Operations/General Manager
Jeff Dunn,Chief Strategy Officer
Ed Goines,Chief Legal Officer
Cindy Kelley,Chief Human Resources Officer
Dave Pearson,Chief Communications Officer
Karen Spencer,Chief Financial Officer
Amy Sprangers,Chief Revenue Officer
David Young,Chief Operating Officer
Nolan Teasley,Assistant General Manager
Mario Bailey,Vice President of Community Engagement & Legends
Matt Berry,Vice President of Player Acquisition
Sarita Carter,Vice President of Human Resources
Eric Engberg,Vice President of Suites & Premium
Tyson Flandreau,Vice President of Brand and Marketing
Mike Flood,Vice President of Outreach & External Affairs
Peter Fonfara,Vice President of Finance
Zach Hensley,Vice President of Operations and General Manager of Lumen Field
Paimon Jaberi,Vice President of Business Strategy & Analytics
Marissa John,Vice President & General Counsel
Maurice Kelly,Vice President of Player Affairs
Trent Kirchner,Vice President of Player Personnel
Joey Laine,Vice President of Football Administration
Chris Lawrence,Vice President  Tickets & Premium
Kenton Olson,Vice President of Digital & Emerging Media
Sam Ramsden,Vice President of Health & Player Performance
William Saguilla,Vice President of Football Finance
Chip Suttles,Vice President of Technology
Karen Wilkins-Mickey,Vice President of Diversity  Equity & Inclusion
Lisa Young,Vice President of Corporate Partnerships
